Week,Rank,Tm,team,pts
21,1,Carolina,CAR,9.73
21,2,Seattle,SEA,8.96
21,3,Kansas City,KC,6.92
21,4,New England,NE,6.58
21,5,Arizona,ARI,6.14
21,6,Pittsburgh,PIT,5.09
21,7,Denver,DEN,4.13
21,8,Cincinnati,CIN,3.52
21,9,Green Bay,GB,3.05
21,10,NY Jets,NYJ,2.44
21,11,Detroit,DET,1.72
21,12,Minnesota,MIN,1.31
21,13,Buffalo,BUF,-0.18
21,14,Oakland,OAK,-1.27
21,15,NY Giants,NYG,-1.38
21,16,Washington,WAS,-1.39
21,17,Philadelphia,PHI,-1.51
21,18,Chicago,CHI,-1.84
21,19,Jacksonville,JAC,-1.96
21,20,Atlanta,ATL,-2.41
21,21,Houston,HOU,-2.52
21,22,Miami,MIA,-2.6
21,23,New Orleans,NO,-2.75
21,24,Tampa Bay,TB,-2.99
21,25,St. Louis,STL,-3.34
21,26,Baltimore,BAL,-3.41
21,27,San Diego,SD,-3.49
21,28,Dallas,DAL,-4.43
21,29,Indianapolis,IND,-5.11
21,30,Cleveland,CLE,-5.93
21,31,Tennessee,TEN,-7.75
21,32,San Francisco,SF,-8.85
